1,Pipefitter,11,Olag,Kleinmann
2,Pipelayer,7,Christoffer,Hindes
3,Ironworker,14,Elbertine,Deacock
4,Pipelayer,12,Jammie,Di Domenico
5,Carpenter,11,Kendell,Voules
6,Plumber,8,Alison,McLarens
7,Boilermaker,8,Delano,Nodin
8,Carpenter,11,Latisha,Lutz
9,Waterproofer,2,Devina,Endacott
10,Waterproofer,15,Gweneth,Hakonsson
11,Plasterers,6,Mufi,Meers
12,Plasterers,3,Marybelle,McDermot
13,Brickmason,11,Alyse,Bloschke
14,Cement Mason,11,Lorri,Kristof
15,Safety Officer,5,Maridel,Newling
16,Linemen,9,Shelia,Brundell
17,Plasterers,10,Hugibert,Greeve
18,Tile Setter,8,Karilynn,Grandin
19,Safety Officer,11,Ailina,De Zuani
20,Stucco Mason,10,Olag,Husbands
21,Boilermaker,12,Sunshine,Miell
22,Concrete Finisher,6,Constancia,Dockery
23,Equipment Operator,13,Kipper,Harlett
24,Pipefitter,11,Kristofor,Dobeson
25,Equipment Operator,15,Amargo,Common
26,Pipefitter,10,Verine,Barrand
27,Tile Setter,5,Emmy,Wescott
28,Tile Setter,4,Willi,Juzek
29,HVAC,10,D'arcy,Pillington
30,Pipelayer,6,Tull,Flatt
31,Refridgeration,13,Sloane,Mereweather
32,Linemen,7,Amalee,Howitt
33,Glazier,7,Hastings,Waltering
34,Millwright,13,Clary,Gooch
35,Welder,13,Kaia,Pyle
36,Refridgeration,2,Wallas,Hughill
37,Millwright,9,Josi,Fonzo
38,Laborer,2,Annelise,Lowdyane
39,Pipelayer,9,Raviv,Ealam
40,Terrazzo,5,Veriee,Tomsen
41,Welder,4,Adena,Kilbourn
42,Welder,9,Rania,Rosentholer
43,Cement Mason,1,Dottie,MacVicar
44,Safety Officer,9,Hesther,Crumb
45,Boilermaker,10,Garrard,McCorrie
46,Terrazzo,13,Missy,Moar
47,HVAC,5,Kent,Duckworth
48,Boilermaker,11,Arlene,MacLice
49,Electrician,3,Lusa,Garside
50,Millwright,3,Cal,Farny
